ID,x,y,area_km2,proportion
30,151.65,-26.95,3.13809709,0.000447326
31,151.65,-26.9,3.118712883,0.000444563
50,151.7,-27.0,8.593106708,0.001224922
51,151.7,-26.95,21.32408963,0.003039686
52,151.7,-26.9,0.36716525,5.23E-05
69,151.75,-27.1,2.089874239,0.000297905
70,151.75,-27.05,19.30884515,0.002752419
71,151.75,-27.0,26.13171504,0.003724998
72,151.75,-26.95,15.96161598,0.002275281
89,151.8,-27.15,8.565523659,0.00122099
90,151.8,-27.1,22.19726417,0.003164154
91,151.8,-27.05,27.48250179,0.003917549
92,151.8,-27.0,27.49447723,0.003919256
93,151.8,-26.95,22.5020685,0.003207603
94,151.8,-26.9,0.070975172,1.01E-05
109,151.85,-27.2,2.995586459,0.000427012
110,151.85,-27.15,23.91982718,0.0034097
111,151.85,-27.1,27.47050552,0.003915839
112,151.85,-27.05,27.48250179,0.003917549
113,151.85,-27.0,27.49447723,0.003919256
114,151.85,-26.95,27.50643184,0.00392096
115,151.85,-26.9,14.48317011,0.002064533
129,151.9,-27.25,7.788961077,0.001110293
130,151.9,-27.2,26.52933214,0.003781677
131,151.9,-27.15,27.45848842,0.003914126
132,151.9,-27.1,27.47050552,0.003915839
133,151.9,-27.05,27.48250179,0.003917549
134,151.9,-27.0,27.49447723,0.003919256
135,151.9,-26.95,27.50643184,0.00392096
136,151.9,-26.9,26.3784919,0.003760176
137,151.9,-26.85,13.70401575,0.001953467
138,151.9,-26.8,0.273838647,3.90E-05
150,151.95,-27.25,12.73276581,0.001815018
151,151.95,-27.2,27.44645052,0.00391241
152,151.95,-27.15,27.45848842,0.003914126
153,151.95,-27.1,27.47050552,0.003915839
154,151.95,-27.05,27.48250179,0.003917549
155,151.95,-27.0,27.49447723,0.003919256
156,151.95,-26.95,27.50643184,0.00392096
157,151.95,-26.9,27.51836561,0.003922661
158,151.95,-26.85,27.53027852,0.003924359
159,151.95,-26.8,22.3612948,0.003187536
160,151.95,-26.75,7.955481648,0.00113403
170,152.0,-27.3,2.960033344,0.000421944
171,152.0,-27.25,26.97889528,0.003845761
172,152.0,-27.2,27.44645052,0.00391241
173,152.0,-27.15,27.45848842,0.003914126
174,152.0,-27.1,27.47050552,0.003915839
175,152.0,-27.05,27.48250179,0.003917549
176,152.0,-27.0,27.49447723,0.003919256
177,152.0,-26.95,27.50643184,0.00392096
178,152.0,-26.9,27.51836561,0.003922661
179,152.0,-26.85,27.53027852,0.003924359
180,152.0,-26.8,27.54217058,0.003926055
181,152.0,-26.75,24.11942357,0.003438152
182,152.0,-26.7,2.932951373,0.000418084
190,152.05,-27.35,1.441200031,0.000205439
191,152.05,-27.3,16.20232516,0.002309593
192,152.05,-27.25,27.4343918,0.003910691
193,152.05,-27.2,27.44645052,0.00391241
194,152.05,-27.15,27.45848842,0.003914126
195,152.05,-27.1,27.47050552,0.003915839
196,152.05,-27.05,27.48250179,0.003917549
197,152.05,-27.0,27.49447723,0.003919256
198,152.05,-26.95,27.50643184,0.00392096
199,152.05,-26.9,27.51836561,0.003922661
200,152.05,-26.85,27.53027852,0.003924359
201,152.05,-26.8,27.54217058,0.003926055
202,152.05,-26.75,27.55404177,0.003927747
203,152.05,-26.7,25.80845114,0.003678918
204,152.05,-26.65,2.952942016,0.000420933
210,152.1,-27.4,7.310989116,0.00104216
211,152.1,-27.35,26.71737906,0.003808483
212,152.1,-27.3,26.14016619,0.003726203
213,152.1,-27.25,27.4343918,0.003910691
214,152.1,-27.2,27.44645052,0.00391241
215,152.1,-27.15,27.45848842,0.003914126
216,152.1,-27.1,27.47050552,0.003915839
217,152.1,-27.05,27.48250179,0.003917549
218,152.1,-27.0,27.49447723,0.003919256
219,152.1,-26.95,27.50643184,0.00392096
220,152.1,-26.9,27.51836561,0.003922661
221,152.1,-26.85,27.53027852,0.003924359
222,152.1,-26.8,27.54217058,0.003926055
223,152.1,-26.75,27.55404177,0.003927747
224,152.1,-26.7,27.56589208,0.003929436
225,152.1,-26.65,13.21684588,0.001884022
231,152.15,-27.4,14.18371265,0.002021846
232,152.15,-27.35,27.41021199,0.003907244
233,152.15,-27.3,27.42231229,0.003908969
234,152.15,-27.25,27.4343918,0.003910691
235,152.15,-27.2,27.44645052,0.00391241
236,152.15,-27.15,27.45848842,0.003914126
237,152.15,-27.1,27.47050552,0.003915839
238,152.15,-27.05,27.48250179,0.003917549
239,152.15,-27.0,27.49447723,0.003919256
240,152.15,-26.95,27.50643184,0.00392096
241,152.15,-26.9,27.51836561,0.003922661
242,152.15,-26.85,27.53027852,0.003924359
243,152.15,-26.8,27.54217058,0.003926055
244,152.15,-26.75,27.55404177,0.003927747
245,152.15,-26.7,27.56589208,0.003929436
246,152.15,-26.65,26.93614647,0.003839668
247,152.15,-26.6,22.21374207,0.003166503
248,152.15,-26.55,24.24635425,0.003456246
249,152.15,-26.5,22.23476642,0.0031695
250,152.15,-26.45,0.018484865,2.63E-06
252,152.2,-27.4,0.002250448,3.21E-07
253,152.2,-27.35,6.802021445,0.000969608
254,152.2,-27.3,27.36228743,0.003900413
255,152.2,-27.25,27.4343918,0.003910691
256,152.2,-27.2,27.44645052,0.00391241
257,152.2,-27.15,27.45848842,0.003914126
258,152.2,-27.1,27.47050552,0.003915839
259,152.2,-27.05,27.48250179,0.003917549
260,152.2,-27.0,27.49447723,0.003919256
261,152.2,-26.95,27.50643184,0.00392096
262,152.2,-26.9,27.51836561,0.003922661
263,152.2,-26.85,27.53027852,0.003924359
264,152.2,-26.8,27.54217058,0.003926055
265,152.2,-26.75,27.55404177,0.003927747
266,152.2,-26.7,27.56589208,0.003929436
267,152.2,-26.65,27.57772152,0.003931122
268,152.2,-26.6,27.58953007,0.003932806
269,152.2,-26.55,27.60131772,0.003934486
270,152.2,-26.5,14.19192418,0.002023017
275,152.25,-27.3,22.7411975,0.00324169
276,152.25,-27.25,27.4343918,0.003910691
277,152.25,-27.2,27.44645052,0.00391241
278,152.25,-27.15,27.45848842,0.003914126
279,152.25,-27.1,27.47050552,0.003915839
280,152.25,-27.05,27.48250179,0.003917549
281,152.25,-27.0,27.49447723,0.003919256
282,152.25,-26.95,27.50643184,0.00392096
283,152.25,-26.9,27.51836561,0.003922661
284,152.25,-26.85,27.53027852,0.003924359
285,152.25,-26.8,27.54217058,0.003926055
286,152.25,-26.75,27.55404177,0.003927747
287,152.25,-26.7,27.56589208,0.003929436
288,152.25,-26.65,27.57772152,0.003931122
289,152.25,-26.6,27.58953007,0.003932806
290,152.25,-26.55,27.60131772,0.003934486
291,152.25,-26.5,22.00973498,0.003137422
292,152.25,-26.45,1.105105852,0.00015753
296,152.3,-27.3,15.85570739,0.002260184
297,152.3,-27.25,27.4343918,0.003910691
298,152.3,-27.2,27.44645052,0.00391241
299,152.3,-27.15,27.45848842,0.003914126
300,152.3,-27.1,27.47050552,0.003915839
301,152.3,-27.05,27.48250179,0.003917549
302,152.3,-27.0,27.49447723,0.003919256
303,152.3,-26.95,27.50643184,0.00392096
304,152.3,-26.9,27.51836561,0.003922661
305,152.3,-26.85,27.53027852,0.003924359
306,152.3,-26.8,27.54217058,0.003926055
307,152.3,-26.75,27.55404177,0.003927747
308,152.3,-26.7,27.56589208,0.003929436
309,152.3,-26.65,27.57772152,0.003931122
310,152.3,-26.6,27.58953007,0.003932806
311,152.3,-26.55,27.60131772,0.003934486
312,152.3,-26.5,27.14186294,0.003868992
313,152.3,-26.45,5.969550072,0.000850942
316,152.35,-27.35,0.050517478,7.20E-06
317,152.35,-27.3,26.15154347,0.003727825
318,152.35,-27.25,27.4343918,0.003910691
319,152.35,-27.2,27.44645052,0.00391241
320,152.35,-27.15,27.45848842,0.003914126
321,152.35,-27.1,27.47050552,0.003915839
322,152.35,-27.05,27.48250179,0.003917549
323,152.35,-27.0,27.49447723,0.003919256
324,152.35,-26.95,27.50643184,0.00392096
325,152.35,-26.9,27.51836561,0.003922661
326,152.35,-26.85,27.53027852,0.003924359
327,152.35,-26.8,27.54217058,0.003926055
328,152.35,-26.75,27.55404177,0.003927747
329,152.35,-26.7,27.56589208,0.003929436
330,152.35,-26.65,27.57772152,0.003931122
331,152.35,-26.6,21.17122203,0.003017895
332,152.35,-26.55,19.72389704,0.002811583
333,152.35,-26.5,13.69230239,0.001951797
334,152.35,-26.45,0.880171197,0.000125466
337,152.4,-27.35,1.309325982,0.000186641
338,152.4,-27.3,26.4044571,0.003763877
339,152.4,-27.25,27.4343918,0.003910691
340,152.4,-27.2,27.44645052,0.00391241
341,152.4,-27.15,27.45848842,0.003914126
342,152.4,-27.1,27.47050552,0.003915839
343,152.4,-27.05,27.48250179,0.003917549
344,152.4,-27.0,27.49447723,0.003919256
345,152.4,-26.95,27.50643184,0.00392096
346,152.4,-26.9,27.51836561,0.003922661
347,152.4,-26.85,27.53027852,0.003924359
348,152.4,-26.8,27.54217058,0.003926055
349,152.4,-26.75,27.55404177,0.003927747
350,152.4,-26.7,27.56589208,0.003929436
351,152.4,-26.65,23.35070195,0.003328573
352,152.4,-26.6,5.110482137,0.000728484
358,152.45,-27.35,11.12107303,0.001585276
359,152.45,-27.3,27.42231229,0.003908969
360,152.45,-27.25,27.4343918,0.003910691
361,152.45,-27.2,27.44645052,0.00391241
362,152.45,-27.15,27.45848842,0.003914126
363,152.45,-27.1,27.47050552,0.003915839
364,152.45,-27.05,27.48250179,0.003917549
365,152.45,-27.0,27.49447723,0.003919256
366,152.45,-26.95,27.50643184,0.00392096
367,152.45,-26.9,27.51836561,0.003922661
368,152.45,-26.85,27.53027852,0.003924359
369,152.45,-26.8,27.54217058,0.003926055
370,152.45,-26.75,27.55404177,0.003927747
371,152.45,-26.7,25.8405798,0.003683498
372,152.45,-26.65,6.809176347,0.000970628
379,152.5,-27.35,21.66444758,0.003088203
380,152.5,-27.3,27.42231229,0.003908969
381,152.5,-27.25,27.4343918,0.003910691
382,152.5,-27.2,27.44645052,0.00391241
383,152.5,-27.15,27.45848842,0.003914126
384,152.5,-27.1,27.47050552,0.003915839
385,152.5,-27.05,27.48250179,0.003917549
386,152.5,-27.0,27.49447723,0.003919256
387,152.5,-26.95,27.50643184,0.00392096
388,152.5,-26.9,27.51836561,0.003922661
389,152.5,-26.85,27.53027852,0.003924359
390,152.5,-26.8,27.54217058,0.003926055
391,152.5,-26.75,17.78668547,0.002535439
392,152.5,-26.7,0.177007019,2.52E-05
399,152.55,-27.4,1.933216009,0.000275574
400,152.55,-27.35,26.19790372,0.003734433
401,152.55,-27.3,27.42231229,0.003908969
402,152.55,-27.25,27.4343918,0.003910691
403,152.55,-27.2,27.44645052,0.00391241
404,152.55,-27.15,27.45848842,0.003914126
405,152.55,-27.1,27.47050552,0.003915839
406,152.55,-27.05,27.48250179,0.003917549
407,152.55,-27.0,27.49447723,0.003919256
408,152.55,-26.95,27.50643184,0.00392096
409,152.55,-26.9,27.51836561,0.003922661
410,152.55,-26.85,27.53027852,0.003924359
411,152.55,-26.8,27.54217058,0.003926055
412,152.55,-26.75,21.33205403,0.003040821
413,152.55,-26.7,1.297046203,0.00018489
420,152.6,-27.4,10.18186406,0.001451394
421,152.6,-27.35,27.41021199,0.003907244
422,152.6,-27.3,27.42231229,0.003908969
423,152.6,-27.25,27.4343918,0.003910691
424,152.6,-27.2,27.44645052,0.00391241
425,152.6,-27.15,27.45848842,0.003914126
426,152.6,-27.1,27.47050552,0.003915839
427,152.6,-27.05,27.48250179,0.003917549
428,152.6,-27.0,27.49447723,0.003919256
429,152.6,-26.95,27.50643184,0.00392096
430,152.6,-26.9,27.51836561,0.003922661
431,152.6,-26.85,27.53027852,0.003924359
432,152.6,-26.8,27.54217058,0.003926055
433,152.6,-26.75,13.88654694,0.001979486
434,152.6,-26.7,0.616414877,8.79E-05
441,152.65,-27.4,4.808124502,0.000685384
442,152.65,-27.35,18.77841149,0.002676807
443,152.65,-27.3,27.42231229,0.003908969
444,152.65,-27.25,27.4343918,0.003910691
445,152.65,-27.2,27.44645052,0.00391241
446,152.65,-27.15,27.45848842,0.003914126
447,152.65,-27.1,27.47050552,0.003915839
448,152.65,-27.05,27.48250179,0.003917549
449,152.65,-27.0,27.49447723,0.003919256
450,152.65,-26.95,27.50643184,0.00392096
451,152.65,-26.9,27.51836561,0.003922661
452,152.65,-26.85,27.53027852,0.003924359
453,152.65,-26.8,26.2515897,0.003742086
454,152.65,-26.75,3.636014216,0.000518303
463,152.7,-27.35,8.091769531,0.001153458
464,152.7,-27.3,23.38137509,0.003332946
465,152.7,-27.25,7.390571244,0.001053504
466,152.7,-27.2,18.37954099,0.002619949
467,152.7,-27.15,27.45848842,0.003914126
468,152.7,-27.1,27.47050552,0.003915839
469,152.7,-27.05,27.48250179,0.003917549
470,152.7,-27.0,27.49447723,0.003919256
471,152.7,-26.95,27.50643184,0.00392096
472,152.7,-26.9,27.51836561,0.003922661
473,152.7,-26.85,17.48420472,0.002492321
474,152.7,-26.8,1.149895738,0.000163914
485,152.75,-27.3,8.366195602,0.001192576
487,152.75,-27.2,0.078686277,1.12E-05
488,152.75,-27.15,4.577548907,0.000652516
489,152.75,-27.1,11.69150214,0.001666589
490,152.75,-27.05,27.48250179,0.003917549
491,152.75,-27.0,27.49447723,0.003919256
492,152.75,-26.95,27.50643184,0.00392096
493,152.75,-26.9,27.51836561,0.003922661
494,152.75,-26.85,21.37095164,0.003046366
495,152.75,-26.8,1.39425192,0.000198746
510,152.8,-27.1,0.310333537,4.42E-05
511,152.8,-27.05,10.36386088,0.001477338
512,152.8,-27.0,22.07741304,0.00314707
513,152.8,-26.95,27.50643184,0.00392096
514,152.8,-26.9,27.51836561,0.003922661
515,152.8,-26.85,27.53027852,0.003924359
516,152.8,-26.8,17.020784,0.002426262
533,152.85,-27.0,1.804834479,0.000257274
534,152.85,-26.95,15.15770078,0.002160685
535,152.85,-26.9,27.43022309,0.003910097
536,152.85,-26.85,27.53027852,0.003924359
537,152.85,-26.8,24.64257319,0.003512726
555,152.9,-26.95,0.515261772,7.34E-05
556,152.9,-26.9,5.697001273,0.000812091
557,152.9,-26.85,11.50117302,0.001639458
558,152.9,-26.8,24.93175993,0.003553948
559,152.9,-26.75,0.000263888,3.76E-08
579,152.95,-26.8,1.113555022,0.000158734
